"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 07, 2020","26.22","27.36","27.36","25.11","-","-4.17%"
"Aug 06, 2020","27.36","25.69","27.93","25.69","-","6.50%"
"Aug 05, 2020","25.69","26.69","28.80","25.69","-","-2.32%"
"Aug 04, 2020","26.30","23.56","26.37","21.20","-","11.63%"
"Aug 03, 2020","23.56","24.46","24.46","22.32","-","-3.68%"
"Jul 31, 2020","24.46","23.97","24.51","23.51","-","1.37%"
"Jul 30, 2020","24.13","23.40","24.82","23.33","-","-9.93%"
"Jul 29, 2020","26.79","28.96","28.96","24.28","-","-7.49%"
"Jul 28, 2020","28.96","25.52","29.27","25.52","-","13.48%"
"Jul 27, 2020","25.52","21.61","26.60","21.61","-","18.09%"
"Jul 24, 2020","21.61","21.99","23.59","21.05","-","-1.73%"
"Jul 23, 2020","21.99","22.45","23.12","20.70","-","-2.05%"
"Jul 22, 2020","22.45","16.67","22.51","16.67","-","34.67%"
"Jul 21, 2020","16.67","15.30","17.50","15.30","-","8.95%"
"Jul 20, 2020","15.30","15.09","15.58","14.76","-","1.39%"
"Jul 17, 2020","15.09","15.37","15.37","14.24","-","-1.82%"
"Jul 16, 2020","15.37","15.36","15.45","14.13","-","0.07%"
"Jul 15, 2020","15.36","16.00","16.14","15.24","-","-4.00%"
"Jul 14, 2020","16.00","16.53","16.53","15.63","-","-3.21%"
"Jul 13, 2020","16.53","16.52","16.67","15.85","-","-0.66%"
"Jul 10, 2020","16.64","17.39","17.39","15.63","-","-4.31%"
"Jul 09, 2020","17.39","17.74","18.05","17.10","-","-1.97%"
"Jul 08, 2020","17.74","17.37","18.41","14.46","-","2.13%"
"Jul 07, 2020","17.37","17.42","17.42","16.51","-","-0.29%"
"Jul 06, 2020","17.42","17.70","18.55","17.08","-","-1.58%"
"Jul 02, 2020","17.70","18.85","18.85","17.51","-","-6.10%"
"Jul 01, 2020","18.85","19.65","19.65","18.04","-","-4.07%"
"Jun 30, 2020","19.65","19.26","20.14","18.57","-","2.02%"
"Jun 29, 2020","19.26","20.52","20.97","19.08","-","-6.14%"
"Jun 26, 2020","20.52","19.73","21.50","19.01","-","4.00%"
"Jun 25, 2020","19.73","20.01","20.29","19.60","-","-1.40%"
"Jun 24, 2020","20.01","20.51","20.84","19.60","-","-2.44%"
"Jun 23, 2020","20.51","19.55","20.53","19.55","-","4.91%"
"Jun 22, 2020","19.55","20.71","20.81","19.14","-","7.01%"
"Jun 19, 2020","18.27","18.31","19.11","18.01","-","-0.22%"
"Jun 18, 2020","18.31","18.88","19.23","18.25","-","-3.02%"
"Jun 17, 2020","18.88","19.29","19.32","18.77","-","-2.13%"
"Jun 16, 2020","19.29","20.22","20.26","18.83","-","-4.08%"
"Jun 15, 2020","20.11","20.39","21.51","20.08","-","-1.37%"
"Jun 12, 2020","20.39","21.90","22.02","20.39","-","-11.50%"
"Jun 11, 2020","23.04","20.31","23.06","20.31","-","11.04%"
"Jun 10, 2020","20.75","19.47","21.89","18.17","-","9.21%"
"Jun 09, 2020","19.00","17.94","19.00","17.94","-","5.91%"
"Jun 08, 2020","17.94","18.17","18.26","17.69","-","-1.27%"
"Jun 05, 2020","18.17","18.18","18.65","17.56","-","0.66%"
"Jun 04, 2020","18.05","18.34","18.34","17.85","-","-2.27%"
"Jun 03, 2020","18.47","18.15","19.00","17.69","-","2.04%"
"Jun 02, 2020","18.10","18.06","18.36","17.35","-","0.22%"
"Jun 01, 2020","18.06","18.86","19.01","17.79","-","-0.50%"
"May 29, 2020","18.15","18.65","18.92","17.67","-","0.28%"
"May 28, 2020","18.10","18.51","18.51","17.23","-","-2.22%"
"May 27, 2020","18.51","18.57","19.28","18.17","-","-0.32%"
"May 26, 2020","18.57","18.95","18.98","17.65","-","-2.01%"
"May 22, 2020","18.95","19.74","19.78","18.95","-","-4.00%"
"May 21, 2020","19.74","20.12","20.32","18.81","-","-1.89%"
"May 20, 2020","20.12","21.33","21.33","19.94","-","-5.67%"
"May 19, 2020","21.33","22.81","22.81","20.69","-","-6.49%"
"May 18, 2020","22.81","23.63","24.30","22.42","-","-3.47%"
"May 15, 2020","23.63","24.94","25.05","23.20","-","-2.15%"
"May 14, 2020","24.15","22.71","25.47","22.71","-","6.34%"
