"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 08, 2020","50.68","47.04","50.68","47.04","-","7.74%"
"Sep 04, 2020","47.04","45.76","47.04","45.76","-","2.80%"
"Sep 03, 2020","45.76","44.86","45.76","44.86","-","2.01%"
"Sep 02, 2020","44.86","44.30","44.86","44.30","-","1.26%"
"Sep 01, 2020","44.30","47.02","47.02","44.30","-","-5.78%"
"Aug 31, 2020","47.02","48.19","48.19","47.02","-","-2.43%"
"Aug 28, 2020","48.19","49.29","49.29","48.19","-","-2.23%"
"Aug 27, 2020","49.29","47.99","49.29","47.99","-","2.71%"
"Aug 26, 2020","47.99","47.89","47.99","47.89","-","0.21%"
"Aug 25, 2020","47.89","46.33","47.89","46.33","-","3.37%"
"Aug 24, 2020","46.33","45.14","46.33","45.14","-","2.64%"
"Aug 21, 2020","45.14","44.58","45.14","44.58","-","1.26%"
"Aug 20, 2020","44.58","44.60","44.60","44.58","-","-0.04%"
"Aug 19, 2020","44.60","46.06","46.06","44.60","-","-3.17%"
"Aug 18, 2020","46.06","45.81","46.06","45.81","-","0.55%"
"Aug 17, 2020","45.81","43.09","45.81","43.09","-","6.31%"
"Aug 14, 2020","43.09","43.09","43.09","43.09","-","-4.41%"
"Aug 13, 2020","45.08","45.08","45.08","45.08","-","1.92%"
"Aug 12, 2020","44.23","44.23","44.23","44.23","-","-2.28%"
"Aug 11, 2020","45.26","45.26","45.26","45.26","-","7.23%"
"Aug 10, 2020","42.21","42.21","42.21","42.21","-","-0.92%"
"Aug 06, 2020","42.60","42.60","42.60","42.60","-","2.04%"
"Aug 05, 2020","41.75","41.75","41.75","41.75","-","-5.35%"
"Aug 04, 2020","44.11","44.11","44.11","44.11","-","2.27%"
"Aug 03, 2020","43.13","43.13","43.13","43.13","-","2.74%"
"Jul 31, 2020","41.98","41.98","41.98","41.98","-","3.25%"
"Jul 30, 2020","40.66","41.63","41.63","40.66","-","-2.33%"
"Jul 29, 2020","41.63","41.63","41.63","41.63","-","0.87%"
"Jul 28, 2020","41.27","41.27","41.27","41.27","-","-3.14%"
"Jul 27, 2020","42.61","42.61","42.61","42.61","-","0.31%"
"Jul 24, 2020","42.48","43.93","43.93","42.48","-","-3.30%"
"Jul 23, 2020","43.93","45.32","45.32","43.93","-","-3.07%"
"Jul 22, 2020","45.32","46.45","46.45","45.32","-","-2.43%"
"Jul 21, 2020","46.45","46.82","46.82","46.45","-","-0.79%"
"Jul 20, 2020","46.82","45.68","46.82","45.68","-","2.50%"
"Jul 17, 2020","45.68","45.68","45.68","45.68","-","-1.62%"
"Jul 16, 2020","46.43","47.08","47.08","46.43","-","-1.38%"
"Jul 15, 2020","47.08","50.81","50.81","47.08","-","-7.34%"
"Jul 14, 2020","50.81","49.55","50.81","49.55","-","2.54%"
"Jul 13, 2020","49.55","49.19","49.55","49.19","-","0.73%"
"Jul 10, 2020","49.19","50.07","50.07","49.19","-","-1.76%"
"Jul 09, 2020","50.07","49.80","50.07","49.80","-","0.54%"
"Jul 08, 2020","49.80","50.98","50.98","49.80","-","-2.31%"
"Jul 07, 2020","50.98","52.03","52.03","50.98","-","-2.02%"
"Jul 06, 2020","52.03","50.96","52.03","50.96","-","2.10%"
"Jul 02, 2020","50.96","53.28","53.28","50.96","-","-4.35%"
"Jul 01, 2020","53.28","54.13","54.13","53.28","-","-1.57%"
"Jun 30, 2020","54.13","52.96","54.13","52.96","-","2.21%"
"Jun 29, 2020","52.96","51.21","52.96","51.21","-","3.42%"
"Jun 26, 2020","51.21","51.21","51.21","51.21","-","-0.70%"
"Jun 25, 2020","51.57","51.57","51.57","51.57","-","-6.05%"
"Jun 24, 2020","54.89","54.89","54.89","54.89","-","1.57%"
"Jun 23, 2020","54.04","54.04","54.04","54.04","-","0.20%"
"Jun 22, 2020","53.93","53.93","53.93","53.93","-","0.90%"
"Jun 19, 2020","53.45","53.45","53.45","53.45","-","-3.08%"
"Jun 18, 2020","55.15","55.15","55.15","55.15","-","-5.18%"
"Jun 17, 2020","58.16","58.16","58.16","58.16","-","-3.85%"
"Jun 16, 2020","60.49","60.49","60.49","60.49","-","4.13%"
"Jun 15, 2020","58.09","58.09","58.09","58.09","-","4.09%"
"Jun 12, 2020","55.81","55.81","55.81","55.81","-","-1.17%"
"Jun 11, 2020","56.47","56.47","56.47","56.47","-","-5.91%"
"Jun 10, 2020","60.02","60.02","60.02","60.02","-","-4.64%"
"Jun 09, 2020","62.94","62.94","62.94","62.94","-","0.27%"
"Jun 08, 2020","62.77","62.77","62.77","62.77","-","1.29%"
"Jun 05, 2020","61.97","61.97","61.97","61.97","-","1.29%"
"Jun 04, 2020","61.18","61.18","61.18","61.18","-","-0.10%"
