"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 07, 2020","49.20","48.50","53.85","47.32","-","0.92%"
"Aug 06, 2020","48.75","48.71","52.33","48.49","-","0.25%"
"Aug 05, 2020","48.63","48.42","50.28","47.56","-","2.88%"
"Aug 04, 2020","47.27","45.59","48.90","42.40","-","3.41%"
"Aug 03, 2020","45.71","47.28","51.52","45.56","-","-0.63%"
"Jul 31, 2020","46.00","47.86","48.17","45.34","-","-3.46%"
"Jul 30, 2020","47.65","47.98","47.98","42.79","-","-1.65%"
"Jul 29, 2020","48.45","52.00","52.00","47.91","-","-6.58%"
"Jul 28, 2020","51.86","52.20","53.37","49.91","-","2.53%"
"Jul 27, 2020","50.58","46.59","55.98","46.31","-","18.79%"
"Jul 24, 2020","42.58","34.98","44.15","34.98","-","-2.05%"
"Jul 23, 2020","43.47","44.73","45.34","40.37","-","-4.67%"
"Jul 22, 2020","45.60","41.53","47.32","41.25","-","9.64%"
"Jul 21, 2020","41.59","39.96","42.51","39.53","-","5.99%"
"Jul 20, 2020","39.24","41.52","41.52","38.54","-","-1.31%"
"Jul 17, 2020","39.76","40.25","40.75","37.81","-","0.68%"
"Jul 16, 2020","39.49","41.34","42.66","34.16","-","-3.31%"
"Jul 15, 2020","40.84","44.66","45.36","40.62","-","-7.50%"
"Jul 14, 2020","44.15","44.26","48.08","43.40","-","0.50%"
"Jul 13, 2020","43.93","44.54","52.98","42.24","-","2.78%"
"Jul 10, 2020","42.74","45.26","47.51","42.38","-","-3.63%"
"Jul 09, 2020","44.35","43.11","44.81","42.59","-","3.62%"
"Jul 08, 2020","42.80","44.17","44.89","42.32","-","1.45%"
"Jul 07, 2020","42.19","40.49","42.55","39.95","-","4.35%"
"Jul 06, 2020","40.43","41.49","41.86","39.81","-","2.95%"
"Jul 02, 2020","39.27","41.99","41.99","39.27","-","-7.92%"
"Jul 01, 2020","42.65","42.30","43.68","41.35","-","-0.26%"
"Jun 30, 2020","42.76","43.55","45.17","37.34","-","-1.43%"
"Jun 29, 2020","43.38","47.12","47.27","43.33","-","-4.43%"
"Jun 26, 2020","45.39","44.90","56.71","43.56","-","1.34%"
"Jun 25, 2020","44.79","46.40","46.63","44.77","-","-2.76%"
"Jun 24, 2020","46.06","46.05","47.20","45.45","-","0.13%"
"Jun 23, 2020","46.00","49.27","49.27","45.08","-","-2.69%"
"Jun 22, 2020","47.27","49.26","49.26","46.99","-","1.94%"
"Jun 19, 2020","46.37","47.21","49.69","45.32","-","-1.24%"
"Jun 18, 2020","46.95","49.58","49.75","46.80","-","-4.63%"
"Jun 17, 2020","49.23","50.31","50.31","48.05","-","-0.75%"
"Jun 16, 2020","49.60","50.42","51.36","47.56","-","-0.64%"
"Jun 15, 2020","49.92","53.29","53.44","49.63","-","-1.94%"
"Jun 12, 2020","50.91","52.12","54.42","49.26","-","-2.32%"
"Jun 11, 2020","52.12","47.24","52.14","46.45","-","7.22%"
"Jun 10, 2020","48.61","44.94","48.61","44.53","-","8.17%"
"Jun 09, 2020","44.94","43.62","45.56","41.96","-","3.33%"
"Jun 08, 2020","43.49","44.46","44.51","42.88","-","0.42%"
"Jun 05, 2020","43.31","43.69","45.18","41.61","-","-1.14%"
"Jun 04, 2020","43.81","45.01","45.01","43.43","-","-1.93%"
"Jun 03, 2020","44.67","45.62","51.78","43.62","-","-1.59%"
"Jun 02, 2020","45.39","45.13","46.36","42.50","-","2.51%"
"Jun 01, 2020","44.28","47.46","50.54","44.20","-","-4.07%"
"May 29, 2020","46.16","48.36","48.53","45.22","-","-3.23%"
"May 28, 2020","47.70","47.24","52.58","41.64","-","1.17%"
"May 27, 2020","47.15","47.51","50.84","46.66","-","1.09%"
"May 26, 2020","46.64","47.83","49.89","43.66","-","-2.47%"
"May 22, 2020","47.82","49.33","50.91","47.40","-","-2.23%"
"May 21, 2020","48.91","48.37","52.19","46.94","-","0.06%"
"May 20, 2020","48.88","49.33","49.49","47.08","-","-1.69%"
"May 19, 2020","49.72","50.40","51.31","48.46","-","-1.70%"
"May 18, 2020","50.58","51.40","57.23","49.86","-","-1.25%"
"May 15, 2020","51.22","53.73","60.21","50.72","-","-3.76%"
"May 14, 2020","53.22","52.95","63.14","52.84","-","0.99%"
"May 13, 2020","52.70","51.09","60.84","47.61","-","1.25%"
"May 12, 2020","52.05","51.19","52.40","50.16","-","-0.63%"
"May 11, 2020","52.38","54.43","63.26","51.97","-","0.10%"
"May 08, 2020","52.33","54.75","57.88","52.33","-","-5.51%"
"May 07, 2020","55.38","55.66","58.57","54.37","-","-0.61%"
"May 06, 2020","55.72","55.17","59.19","52.34","-","0.89%"
"May 05, 2020","55.23","55.60","57.60","52.56","-","-0.90%"
"May 04, 2020","55.73","58.47","62.77","55.52","-","-1.97%"
"May 01, 2020","56.85","56.27","92.77","55.02","-","1.99%"
"Apr 30, 2020","55.74","55.66","62.83","52.61","-","0.47%"
"Apr 29, 2020","55.48","57.94","58.67","52.75","-","-2.62%"
